I;NAME;RAJD;DECJD;DM;RM;
1;J0006+1834;1.52000000;18.58305556;11.41;-20.00;
2;B0011+47;3.57395833;47.77594444;30.41;-15.56;
3;J0021-0909;5.46445833;-9.16630556;25.20;-15.00;
4;J0023+0923;5.82032291;9.38996121;14.32;-5.10;
5;B0021-72C;5.95981083;-72.07541800;24.60;27.00;
6;B0021-72D;6.05783717;-72.07884789;24.74;28.00;
7;B0021-72J;5.99753208;-72.06633078;24.59;20.00;
8;J0026+6320;6.71067083;63.33357500;245.06;-294.00;
9;J0030+0451;7.61428128;4.86103100;4.33;1.17;
10;J0034-0534;8.59097592;-5.57686722;13.77;-38.00;
11;B0031-07;8.53695958;-7.36483583;10.92;9.89;
12;J0036-1033;9.06254167;-10.55394444;23.10;-8.10;
13;B0037+56;10.13495792;57.27356472;92.51;15.30;
14;J0045-7042;11.35704167;-70.70197222;71.30;31.00;
15;J0045-7319;11.39650000;-73.31750000;104.60;-25.00;
16;B0045+33;12.14160282;34.20223077;39.92;-83.30;
17;B0052+51;13.93915875;51.29016694;44.01;-64.09;
18;B0053+47;14.10630345;47.93626269;18.14;-34.16;
19;J0058+6125;14.50000000;61.41666667;128.30;-212.00;
20;J0101-6422;15.29631792;-64.37504750;11.92;20.00;
21;B0059+65;15.63746417;65.62039333;65.85;-94.00;
22;J0108-1431;17.03477923;-14.53060753;2.38;-0.30;
23;B0105+65;17.09377042;66.14291639;30.55;-27.10;
24;B0105+68;17.12293293;69.09795221;61.06;-33.04;
25;J0113-7220;18.29620833;-72.34227778;125.49;128.00;
26;B0114+58;19.41108846;59.24399732;49.42;-8.10;
27;J0125-2327;21.29166667;-23.45722222;9.60;4.78;
28;J0131-7310;22.86879167;-73.16926111;205.22;-57.00;
29;J0133-6957;23.38525000;-69.95824444;22.95;7.00;
30;J0134-2937;23.57784333;-29.62140056;21.81;13.00;
31;J0137+1654;24.34950000;16.91169444;26.08;-16.80;
32;B0136+57;24.83225042;58.24217194;73.81;-94.13;
33;B0138+59;25.41640900;60.15897317;34.93;-47.00;
34;B0144+59;26.93601417;59.36757889;40.11;-9.50;
35;B0148-06;27.84465792;-6.58416306;25.66;2.00;
36;J0152+0948;28.09887500;9.80277778;22.88;1.40;
37;B0149-16;28.04522458;-16.63156694;11.93;6.60;
38;J0154+1833;28.65367804;18.56409944;19.80;-22.84;
39;B0153+39;29.23019206;39.82459228;59.83;-68.58;
40;B0154+61;29.45809750;62.20740222;30.21;-29.00;
41;J0158+21;29.62083333;21.13333333;20.00;-29.77;
42;J0201+7005;30.42226667;70.08836389;21.03;-39.00;
43;J0203-0150;30.89130062;-1.83377428;19.22;2.60;
44;B0203-40;31.50538750;-40.46767222;12.90;-4.00;
45;J0211-8159;32.99583333;-81.99338889;24.36;54.00;
46;J0212+5222;33.21724475;52.38041719;38.21;-13.68;
47;J0214+5222;33.73029708;52.37804167;22.04;-16.44;
48;J0215+6218;33.98594524;62.30927029;84.00;380.90;
49;J0218+4232;34.52649404;42.53815976;61.25;-61.40;
50;J0220+3626;35.17550000;36.44880556;40.00;-41.05;
51;B0226+70;37.80832172;70.44274548;46.68;-43.81;
52;J0248+6021;42.07757083;60.35964444;370.00;-158.00;
53;B0254-53;43.98455208;-53.07257639;15.90;32.00;
54;B0301+19;46.13797917;19.54761111;15.66;-8.43;
55;B0320+39;50.86109125;39.74788972;26.19;60.00;
56;J0324+5239;51.23108333;52.65869444;115.46;-126.00;
57;B0329+54;53.24754000;54.57870250;26.76;-64.33;
58;B0331+45;53.81934000;45.93151444;47.15;-15.20;
59;J0340+4130;55.09703317;41.51258087;49.59;55.00;
60;J0343-3000;55.86641667;-30.00763889;20.20;45.00;
