TAU_SC_ERR,JNAME,DM,TAU_SC,DM_ERR
,J0002+6216,218.6,,0.6
,J0006+1834,11.41,,0.55
,J0007+7303,,,
,J0011+08,24.9,,
6e-08,J0014+4746,30.405,2.5e-07,0.013
,J0021-0909,25.2,,1.0
1.2e-08,J0023+0923,14.3216,3.6e-08,0.0006
,J0024-7204C,24.5955,,0.0008
,J0024-7204D,24.7432,,0.0009
,J0024-7204E,24.236,,0.002
,J0024-7204F,24.382,,0.005
,J0024-7204G,24.436,,0.004
,J0024-7204H,24.369,,0.008
,J0024-7204I,24.43,,0.01
,J0024-7204J,24.5932,,0.0001
,J0024-7204L,24.4,,0.01
,J0024-7204M,24.43,,0.02
,J0024-7204N,24.574,,0.009
,J0024-7204O,24.356,,0.002
,J0024-7204P,24.29,,0.03
,J0024-7204Q,24.265,,0.004
,J0024-7204R,24.361,,0.007
,J0024-7204S,24.376,,0.004
,J0024-7204T,24.41,,0.02
,J0024-7204U,24.337,,0.004
,J0024-7204V,24.105,,
,J0024-7204W,24.367,,0.003
,J0024-7204X,24.539,,0.005
,J0024-7204Y,24.468,,0.004
,J0024-7204Z,24.45,,0.04
,J0024-7204aa,24.971,,0.007
,J0024-7204ab,24.37,,0.02
,J0024-7204ac,24.46,,
,J0024-7204ad,24.41,,
,J0025-19,21.3,,0.4
,J0026+6320,245.06,0.00034,0.06
,J0030+0451,4.33294,,0.00011
,J0033+57,75.65,,0.09
,J0033+61,37.7,,0.3
,J0034+69,80.01,,0.015
3.1e-08,J0034-0534,13.76517,6.3e-08,4e-05
1.1e-09,J0034-0721,10.922,3.2e-09,0.006
,J0038-2501,5.71,,0.003
,J0039+35,53.04,,0.02
,J0040+5716,92.5146,,0.0025
,J0043-73,115.1,,3.4
,J0045-7042,71.3,,0.3
,J0045-7319,104.6,,0.4
6e-08,J0048+3412,39.922,1.9e-07,0.015
,J0050+03,26.5,,
,J0051+0423,13.93,,0.09
,J0052-72,158.6,,1.6
,J0054+66,15.0,,
,J0054+69,90.3,,0.2
,J0054+6946,116.52,,0.05
1.9e-07,J0055+5117,44.0127,4.4e-07,0.0024
,J0056+4756,18.1354,,0.0013
,J0057-7201,27.0,,5.0
,J0058+4950,66.953,,0.007
,J0058+6125,128.3,,0.2
,J0058-7218,,,
,J0059+69,63.53,,0.05
,J0100+8023,56.0062,,0.0008
,J0100-7211,,,
,J0101-6422,11.921,,0.0004
,J0102+4839,53.5,,
,J0102+6537,65.853,,0.016
,J0103+54,55.605,,0.004
,J0104+64,44.6,,0.3
,J0106+4855,70.87,,0.2
,J0107+1322,21.671,,0.001
6e-08,J0108+6608,30.5482,1.6e-07,0.0014
,J0108+6905,61.0617,,0.0036
,J0108-1431,2.38,,0.19
,J0110-22,20.8,,0.3
,J0111+6624,111.2,,0.03
,J0111-7131,79.4,,0.5
,J0113-7220,125.49,,0.02
,J0115+6325,65.069,,0.004
1.9e-07,J0117+5914,49.42068,9.4e-07,0.00059
,J0121+53,91.38,,0.03
,J0122+1416,17.693,,0.003
,J0125+62,118.0,,0.5
,J0125-2327,9.5974,,0.0003
,J0131-7310,205.22,,0.06
,J0133-6957,22.948,,0.008
,J0134-2937,21.806,,0.006
