Num;NAME;RAJD;DECJD;P0;P1;DM;TAU_SC;
1;J0002+6216;0.74237500;62.26927778;0.115364;5.97e-15;218.60;*;
2;J0006+1834;1.52000000;18.58305556;0.693748;2.10e-15;11.41;*;
3;J0011+08;2.89166667;8.16666667;2.552870;*;24.90;*;
4;J0012+5431;3.09708333;54.52972222;3.025301;1.28e-16;131.30;*;
5;B0011+47;3.57395833;47.77594444;1.240699;5.64e-16;30.41;0.00;
6;J0021-0909;5.46445833;-9.16630556;2.314131;1.04e-15;25.20;*;
7;J0023+0923;5.82032291;9.38996121;0.003050;1.14e-20;14.32;0.00;
8;J0024-7204aa;6.02362500;-72.08128333;0.001840;*;24.97;*;
9;J0024-7204ab;6.03400625;-72.07988944;0.003705;9.82e-21;24.37;*;
10;J0024-7204ac;6.02362500;-72.06805556;0.002740;*;24.46;*;
11;J0024-7204ad;6.02362500;-72.06805556;0.003740;*;24.41;*;
12;B0021-72C;5.95981083;-72.07541800;0.005757;-4.99e-20;24.60;*;
13;B0021-72D;6.05783717;-72.07884789;0.005358;-3.42e-21;24.74;*;
14;B0021-72E;6.04627200;-72.08893033;0.003536;9.85e-20;24.24;*;
15;B0021-72F;6.01606446;-72.07856064;0.002624;6.45e-20;24.38;*;
16;B0021-72G;6.03316792;-72.07769528;0.004040;-4.22e-20;24.44;*;
17;B0021-72H;6.02793000;-72.06855742;0.003210;-1.83e-21;24.37;*;
18;B0021-72I;6.03306125;-72.07768931;0.003485;-4.59e-20;24.43;*;
19;B0021-72J;5.99753208;-72.06633078;0.002101;-9.79e-21;24.59;*;
20;B0021-72L;6.01571708;-72.08247861;0.004346;-1.22e-19;24.40;*;
21;B0021-72M;5.97704125;-72.09187667;0.003677;-3.84e-20;24.43;*;
22;B0021-72N;6.03828333;-72.07469186;0.003054;-2.19e-20;24.57;*;
23;J0024-7204O;6.01938558;-72.08160194;0.002643;3.03e-20;24.36;*;
24;J0024-7204P;6.08333333;-72.06944444;0.003643;6.64e-19;24.29;*;
25;J0024-7204Q;6.06871208;-72.07365678;0.004033;3.40e-20;24.27;*;
26;J0024-7204R;6.03160458;-72.08066539;0.003480;1.48e-19;24.36;*;
27;J0024-7204S;6.01658083;-72.07843139;0.002830;-1.21e-19;24.38;*;
28;J0024-7204T;6.03562125;-72.07748111;0.007588;2.94e-19;24.41;*;
29;J0024-7204U;6.04098583;-72.06658006;0.004343;9.52e-20;24.34;*;
30;J0024-7204V;6.02362500;-72.08128333;0.004810;*;24.11;*;
31;J0024-7204W;6.02524167;-72.08030222;0.002352;-8.66e-20;24.37;*;
32;J0024-7204X;6.09327354;-72.02151150;0.004772;1.84e-20;24.54;*;
33;J0024-7204Y;6.00584417;-72.07828786;0.002197;-3.52e-20;24.47;*;
34;J0024-7204Z;6.02517083;-72.08374444;0.004554;-4.54e-21;24.45;*;
35;J0026-1955;6.65000000;-19.93305556;1.306150;*;20.87;*;
36;J0026+6320;6.71067083;63.33357500;0.318358;1.51e-16;245.06;0.00;
37;J0030+0451;7.61428128;4.86103100;0.004865;1.02e-20;4.33;*;
38;J0033+57;8.25000000;57.00000000;0.315000;*;75.65;*;
39;J0033+61;8.25000000;61.00000000;0.912000;*;37.70;*;
40;J0034-0534;8.59097592;-5.57686722;0.001877;4.97e-21;13.77;0.00;
41;B0031-07;8.53695958;-7.36483583;0.942951;4.08e-16;10.92;0.00;
42;J0034+69;8.50000000;69.71666667;0.036804;*;80.01;*;
43;J0036-1033;9.06254167;-10.55394444;0.900009;2.13e-16;23.10;*;
44;J0038-2501;9.54276667;-25.02520278;0.256926;7.60e-19;5.71;*;
45;J0039+35;9.77500000;35.75000000;0.536700;*;53.04;*;
46;B0037+56;10.13495792;57.27356472;1.118225;2.88e-15;92.51;*;
47;J0043-73;10.85416667;-73.18333333;0.937429;*;115.10;*;
48;J0045-7042;11.35704167;-70.70197222;0.632336;2.49e-15;71.30;*;
